Columna1;title;abstract
0;A panel data study on the effect of climate change on life expectancy;The life and health of billions of people is endangered by climate change today. Life expectancy is generally used as the best metric for assessing the population health status of a nation. Against this backdrop, this paper investigates the effect of climate change on life expectancy using the panel data model. To do so, imprimis, this paper develops a conceptual framework linking direct and indirect pathways by which climate change affects health. The direct pathways are through weather variables and natural disasters. The indirect pathways are mediated through economic systems and ecosystems. Then this paper estimates the effect of climate change on life expectancy using cross-national data from 191 countries covering the period 1940–2020 and employing the fixed-effect method. The finding of this study suggests that if the annual average temperature increases by 1°C, then the life expectancy at birth will decline by 0.44 years. Moreover, the temperature rise will further negatively impact life expectancy by interacting with the rainfall cycle. If the composite climate change index, an index of the geometric mean of temperature and rainfall, increases by 10 points, the life expectancy at birth will decline by 0.50 years. Moreover, climate change will disproportionately reduce the life expectancy of females more than the life expectancy of males. A negative relationship between a composite climate change index and life expectancy underscores the urgency of addressing climate change as a public health crisis. Mitigation efforts to reduce greenhouse gas emissions and adapt to changing conditions are essential to minimize the health risks associated with climate change. Thus, countries should come forward with prompt initiatives to contain global temperature rise and protect the health of the population on the verge of climate change.
1;The Impact of Climate Change on Life Expectancy in the UK: Empirical Evidence from Fourier Bootstrap ARDL Procedure;This study aims to determine the impact of surface temperature change, considered a proxy for climate change in the United Kingdom, on life expectancy using annual data from 1990–2021. Government expenditure is used as a control variable. The Fourier function-based bootstrap autoregressive distributed lag model is utilized to examine the cointegration among variables. The analysis outcomes reveal a long-term relationship between life expectancy, surface temperature change, and government expenditure. Furthermore, the findings reveal that surface temperature change significantly reduces life expectancy in the long run, while there is no significant relationship between the two variables in the short term. The Toda-Yamamoto causality analysis results show a unidirectional causality relationship between surface temperature change and life expectancy. Additionally, a significant bidirectional causality relationship is found between life expectancy and government expenditure.
2;Response of Global Air Pollutant Emissions to Climate Change and Its Potential Effects on Human Life Expectancy Loss;Geographical environment and climate change are basic factors for spatial fluctuations in the global distribution of air pollutants. Against the background of global climate change, further investigation is needed on how meteorological characteristics and complex geographical environment variations can drive spatial air pollution variations. This study analyzed the response of air pollutant emissions to climate change and the potential effects of air pollutant emissions on human health by integrating the air pollutant emission simulation model (GAINS) with 3 versions and CMIP5. The mechanism by which meteorological characteristics and geographical matrices can drive air pollution based on monitoring data at the site-scale was also examined. We found the total global emission of major air pollutants increased 1.32 times during 1970–2010. Air pollutant emissions will increase 2.89% and 4.11% in China and developed countries when the scenario of only maximum technically feasible reductions is performed (V4a) during 2020–2050. However, it will decrease 19.33% and 6.78% respectively by taking the V5a climate scenario into consideration, and precipitation variation will contribute more to such change, especially in China. Locally, the air circulation mode that is dominated by local geographical matrices and meteorological characteristics jointly affect the dilution and diffusion of air pollutants. Therefore, natural conditions, such as climate changes, meteorological characteristics and topography, play an important role in spatial air pollutant emissions and fluctuations, and must be given more attention in the processes of air pollution control policy making.
3;The Effect of Air Pollution and Climate Change on Sleep.;"Research has shown that air pollution and climate change affect both the duration and quality of sleep; threatens physical and mental health especially through respiratory, cardiovascular, and nervous systems; and shortens life expectancy. This review will begin with overall information on air pollution, climate change and sleep. Then, it will proceed with the effects of these two environmental issues on sleep, in the light of previous research."
4;The COVID Pandemic and Climate Change: Multifactorial risk and vulnerability;"During the last Covid-19 pandemic, 333,188 people died in Mexico, when analyzing the behavior of the pandemic, it was found that the risk of dying when infected was related to their previous medical conditions, such as degenerative diseases; research was also carried out that linked them to their gender, age, work, and school condition. So far, no analysis has been carried out linking people who have died from Covid-19 to social marginalization or vulnerability to climate change. This research arises from the question: How is environmental vulnerability related as a factor that influenced the death of people who were infected by covid-19 in Mexico during the pandemic, in the years 2020 to 2023? In order to answer this research question, it is hypothesized that vulnerability to climate change is a factor that negatively affects the life expectancy of people who were infected by Covid-19 in Mexico. The objective is to make visible how environmental deterioration has a negative impact on people's health, as well as on the emergence of new pathogens, which increases the deaths of people infected by Covid-19. In order to demonstrate this research assumption, an analysis of variance was carried out by relating the variable of people who died during the pandemic with the conditions of municipal vulnerability to global climate change. The south-central states of the Mexican Republic of Puebla, Morelos, Guerrero, State of Mexico and Mexico City were selected. It was found that environmental vulnerability has a negative impact on the life expectancy of people who were infected, so if the municipality where the deceased person lived has a greater vulnerability to climate change, there was a greater probability of death. That is why environmental justice actions must be carried out to reduce vulnerability to CC."
5;Measuring Nurses’ Knowledge and Awareness of Climate Change and Climate-Associated Diseases: Protocol for a Systematic Review of Existing Instruments;Background: Climate change is a health emergency. Each year, it is estimated to cost more than 230 million years of life expectancy, with 4–9 million premature deaths associated with air pollution, and 9 million excess deaths due to non-optimal temperatures, representing 7% more temperature-related deaths since 2015 and 66% more since 2000. Objective: Identify and evaluate the reliability, fidelity, and validity of instruments measuring nurses’ knowledge and awareness of climate change and climate-associated diseases. Methods: A systematic literature review will retrieve and assess studies examining instruments measuring nurses’ knowledge and awareness of climate change and climate-associated diseases. Using predefined search terms for nurses, climate change, literacy and scales or tools, we will search for published articles recorded in the following electronic databases, with no language or date restrictions, from their inception until 31 October 2023: Medline Ovid SP (from 1946), PubMed (NOT Medline[sb], from 1996), Embase.com (from 1947), CINAHL Ebesco (from 1937), the Cochrane Library Wiley (from 1992), Web of Science Core Collection (from 1900), the Trip Database (from 1997), JBI OVID SP (from 1998), and the GreenFILE EBSCO. We will also hand-search relevant articles’ bibliographies and search for unpublished studies using Google Scholar, ProQuest Dissertations and Theses Global, and DART-EUrope.eu. This will be completed by exploring the gray literature in OpenGrey and the Grey Literature Report, from inception until 31 October 2023, in collaboration with a librarian. Twelve bibliographic databases will be searched for publications up to 31 October 2023. The papers selected will be assessed for their quality. Results: The electronic database searches were completed in May 2023. Retrieved articles are being screened, and the study will be completed by October 2023. After removing duplicates, our search strategy has retrieved 3449 references. Conclusions: This systematic review will provide specific knowledge about instruments to measure nurses’ knowledge, awareness, motivation, attitudes, behaviors, beliefs, skills, and competencies regarding climate change and climate-associated diseases.
6;Carbon Emissions, Health Expenditure, and Economic Effects on Life Expectancy in Malaysia;Population aging, urbanization, and life expectancy are among the main pillars of sustainable economic, social, and environmental development of the future, as outlined by the Sustainable Development Goals (SDGs) of the United Nations. Globally, the current population structure exhibits an increasing proportion of the elderly along with rising healthcare costs and climate change. Malaysia faces a similar experience, where 14% of its population is expected to account for the elderly by 2030. To achieve the SDGs, attention should be given to their pillars, namely life expectancy, health expenditure, economic development, and carbon emissions. Limited research that addresses these key factors has been conducted, especially in emerging economies, such as Malaysia. Therefore, this study aims to contribute to the existing literature by analyzing the long-term and short-term relationships between carbon emissions, GDP, health expenditure, and life expectancy in Malaysia. The autoregressive distributed lag (ARDL) bounds cointegration test was adopted to determine the long-term and short-term effects on life expectancy from 1997 to 2021. The findings indicate that cointegration existed among the variables, and carbon emissions and health expenditure had a statistically significant relationship with life expectancy in the short run. Hence, greater attention should be paid to these two factors, particularly in the short term, to ensure that Malaysia can maintain the health and well-being of the nation in line with the SDG requirements.
7;A Cross-National Study on Sustainable Smart City Indicators and Their Influence on Life Expectancy—A Cluster Analysis of EU Countries;As a consequence of climate change and its negative impacts on the environment and on human health, the topic of sustainability has become an integral part of urban policy. Smart city initiatives around the world are focusing on different aspects of sustainability in order to provide better living conditions for their residents. The aim of this study is to investigate the impact of selected smart city indicators on the average life expectancy as a variable for quality of life and well-being. Based on a Common Correlated Effects (CCE) model, Instrumental Variable Estimator with Common Factors (2SIV), and clustering regression model, EU countries were divided into three distinct clusters indicating common elements but also specificities of each group. The analysis confirmed the positive impact of GDP growth, renewable energy consumption, and the proportion of the population with a tertiary level of education on life expectancy. On the other hand, CO2 emissions and transport pollution have an adverse effect. The analysis provides valuable insights into the complex relationship between smart city variables and quality of life, and it may serve as a basis for informed and responsible decision-making by relevant urban stakeholders aimed at designing more sustainable, resilient, and healthier cities.
8;Blockchain-Orchestrated Intelligent Water Treatment Plant Profiling Framework to Enhance Human Life Expectancy;Water quality degradation has turned out to be of crucial importance due to various factors over the past decade. Pollution, climate change, and population growth are the factors that affect water quality. Contaminations such as microorganisms, heavy metals, and excessive nitrogen and phosphorous disrupt water pH levels, posing significant health risks. Despite the innovation in the Internet of Things(IoT), allowing balancing the pH by adding chlorine and fluoride after the disinfection step, several security issues(e.g., distributed denial of service, data manipulation, and session hijacking) manoeuvre the operational performance of the water treatment plants. This causes people to consume polluted water, which has many adverse effects on human health and reduces life expectancy. To address this critical concern, we propose a novel approach integrating artificial intelligence(AI) and blockchain technology into water treatment plant management. Our methodology utilizes a standard water quality dataset, which has features such as pH and total hardness, which is used for binary classification, indicating water as potable or not potable. We employ various AI classifiers such as stochastic gradient descent classifier (SGDC), decision tree (DT), Naive Bayes (NB), K nearest neighbours (KNN), and logistic regression (LR). Furthermore, an InterPlanetary File System(IPFS)-based public blockchain is integrated to resist the data manipulation attack, where the potable water sample is securely stored in the blockchain’s immutable ledger. The proposed model is evaluated using various performance metrics such as confusion matrix analysis, learning curve assessment, training accuracy, and blockchain scalability. Notably, the DT model emerges as the best-performing classifier with an accuracy of 99.41% and scalability of 35 with 120 data transactions.
9;The effect of Carbon Emissions on Life Expectancy: Evidence from Azerbaijan;Life expectancy (LEX) is an important indicator of the general health status and quality of life of a country. It is directly related to factors such as the effectiveness of a country's health policies and the level of social and economic welfare. Carbon dioxide (CO2) emissions are one of the key causes of global climate change and have direct negative impacts on human health through air pollution. Many studies in the literature have revealed that high CO2 emissions have negative effects on health and reduce life expectancy. This study, probably the first of its kind in Azerbaijan, was analyzed using data for the period 1974-2022. The stationarity of the variables was tested with nonlinear unit root tests such as KSS, Sollis and Kruse and it was found that they were not stationary at the level. The existence of a cointegration relationship between the variables was determined through the A-ARDL method. Based on the results obtained from CCR and FMOLS method, a 1% increase in CO2 leads to a 0.15% decrease in LEX. In addition, the results of the FTY causality test revealed that there is unidirectional causality from CO2 to LEX.
