text,label
"""UN sees life expectancy, education and income fall Skip to content Home News Sport Business Innovation Culture Arts Travel Earth Audio Video Live Home News Sport Business Innovation Culture Arts Travel Earth Audio Video Live Weather Newsletters UN sees life expectancy, education and income fall 8 September 2022 Share Save Stephanie Hegarty Population correspondent Share Save Getty Images Life expectancy is declining sharply in some countries Decades of progress in terms of life expectancy, education and economic prosperity have begun unravelling since the pandemic, a new UN report says",media
"Over the past two years, nine out of 10 countries have slid backwards on the UN's Human Development Index",media
"Covid-19, the war in Ukraine and the impact of climate change are blamed for putting global development in reverse",media
The Human Development Index was launched in 1990 in an effort to look beyond GDP as a measure of well-being,media
"Switzerland sits at the top of the index this year with a life expectancy of 84 years, an average of 16",media
"5 years spent in education and median salary of $66,000",media
"At the other end of the scale is South Sudan where life expectancy is 55, people spend just 5",media
5 years in school on average and earn $768 a year,media
"Setbacks in a majority of the 191 countries included in the index, especially in life expectancy, have taken development levels back to those seen in 2016, reversing a 30-year trend",media
"In the US, for example, life expectancy at birth has dropped by more than two years since 2019",media
In other countries the decline is much higher,media
"Over the years since the index was introduced, many countries have faced crises and slid backwards, but the global trend consistently moved upwards",media
Last year was the first time the index declined overall since calculations began and this year's results solidified that downward trend,media
The impact has been uneven though,media
Two-thirds of rich countries rebounded last year while most others continued to decline,media
This year's index is based on data from 2021,media
"""But the outlook for 2022 is grim,"" says Achim Steiner, one of its authors, who points out that more than 80 countries are facing problems paying off their national debt",media
"""Eighty countries being one step away from facing that kind of crisis is a very serious prospect,"" he says",media
"""We are seeing deep disruptions, the tail end of which will play out over a number of years",media
"""Climate change 'impacts women more than men' Skip to content Home News Sport Business Innovation Culture Arts Travel Earth Audio Video Live Home News Sport Business Innovation Culture Arts Travel Earth Audio Video Live Weather Newsletters Climate change 'impacts women more than men' 8 March 2018 Share Save Mary Halton  News, science reporter Share Save Getty Images Over 70% of those displaced by flooding in Pakistan in 2010 were women and children Women are more likely than men to be affected by climate change, studies show",media
UN figures indicate that 80% of people displaced by climate change are women,media
Roles as primary caregivers and providers of food and fuel make them more vulnerable when flooding and drought occur,media
"The 2015 Paris Agreement has made specific provision for the empowerment of women, recognising that they are disproportionately impacted",media
"Getty Images Millions in Nigeria, Cameroon, Chad, Niger and the Central African Republic rely on Lake Chad In central Africa, where up to 90% of Lake Chad has disappeared , nomadic indigenous groups are particularly at risk",media
"As the lake's shoreline recedes, women have to walk much further to collect water",media
"""In the dry season, men go to the towns",media
"leaving women to look after the community,"" explains Hindou Oumarou Ibrahim, coordinator of the Association of Indigenous Women and People of Chad (AFPAT)",media
"With dry seasons now becoming longer, women are working harder to feed and care for their families without support",media
"""They become more vulnerable",media
"it's very hard work,"" Ibrahim recently told the 's 100 Women initiative",media
A global problem It is not just women in rural areas who are affected,media
"Globally, women are more likely to experience poverty , and to have less socioeconomic power than men",media
"This makes it difficult to recover from disasters which affect infrastructure, jobs and housing",media
"Getty Images Shanika Reaux with her baby Tatiana were displaced by Hurricane Katrina After Hurricane Katrina in 2005, African American women were among the worst affected by flooding in Louisiana",media
"As sea levels rise, low-lying cities like New Orleans will be increasingly at risk",media
"""In New Orleans, there was much higher poverty among the African American population before Katrina,"" says Jacquelyn Litt, professor of women's and gender studies at Rutgers University",media
"""More than half the poor families in the city were headed by single mothers,"" she told  News",media
""" are reliant on interdependent community networks for their everyday survival and resources",media
The displacement that happened after Katrina essentially eroded those networks,media
It places women and their children at much greater risk,media
""" In the immediate aftermath of extreme events, emergency shelters can be inadequately equipped to support women",media
