doc_id,bow
0,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 2), (13, 1), (14, 1), (15, 2), (16, 1), (17, 1), (18, 1), (19, 2), (20, 1), (21, 1), (22, 1), (23, 1), (24, 2), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 3), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (39, 1), (40, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1), (47, 2), (48, 3), (49, 1), (50, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1), (62, 1), (63, 1), (64, 1), (65, 1), (66, 1), (67, 1), (68, 3), (69, 1), (70, 1), (71, 1), (72, 2), (73, 1), (74, 1), (75, 1), (76, 2), (77, 1), (78, 1), (79, 1), (80, 2), (81, 1), (82, 1), (83, 1), (84, 1), (85, 3), (86, 1), (87, 1), (88, 1), (89, 1), (90, 2), (91, 1), (92, 1), (93, 1), (94, 2)]"
1,"[(6, 1), (45, 1), (61, 1), (79, 3), (89, 1), (90, 1), (91, 2), (95, 1), (96, 1), (97, 1), (98, 1), (99, 1), (100, 1), (101, 1), (102, 1), (103, 3), (104, 4), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 3), (112, 1), (113, 1), (114, 1), (115, 1), (116, 3), (117, 1), (118, 1), (119, 1), (120, 1), (121, 1), (122, 1), (123, 1), (124, 2), (125, 1), (126, 1), (127, 1), (128, 1), (129, 4), (130, 1), (131, 1), (132, 1), (133, 1), (134, 1), (135, 1)]"
2,"[(2, 1), (17, 1), (44, 3), (61, 1), (100, 1), (104, 1), (107, 1), (136, 1), (137, 1), (138, 1), (139, 1), (140, 1), (141, 5), (142, 3), (143, 3), (144, 1), (145, 1), (146, 1), (147, 1), (148, 1), (149, 4), (150, 2), (151, 1), (152, 1), (153, 1), (154, 1), (155, 1), (156, 1), (157, 1), (158, 1), (159, 1), (160, 1), (161, 1), (162, 2), (163, 1), (164, 2), (165, 4), (166, 2), (167, 1), (168, 1), (169, 1), (170, 1), (171, 2), (172, 1), (173, 4), (174, 1), (175, 1), (176, 1), (177, 1), (178, 1), (179, 1), (180, 1), (181, 1), (182, 1), (183, 1), (184, 1), (185, 2), (186, 1), (187, 1), (188, 4), (189, 1), (190, 1), (191, 1), (192, 1), (193, 1), (194, 1), (195, 1), (196, 1), (197, 1), (198, 1), (199, 1), (200, 1), (201, 1), (202, 1), (203, 1), (204, 2), (205, 1), (206, 1), (207, 3), (208, 1), (209, 1), (210, 1), (211, 1), (212, 1), (213, 1), (214, 1), (215, 1), (216, 2), (217, 1)]"
3,"[(84, 1), (139, 1), (143, 2), (163, 1), (167, 1), (218, 1), (219, 1), (220, 1), (221, 1), (222, 1), (223, 1), (224, 1), (225, 1), (226, 1), (227, 1), (228, 1), (229, 1), (230, 1), (231, 1), (232, 1), (233, 3), (234, 1)]"
4,"[(2, 1), (5, 1), (17, 2), (44, 1), (45, 2), (47, 1), (54, 1), (65, 2), (66, 1), (69, 8), (77, 1), (94, 1), (134, 1), (220, 4), (227, 1), (235, 1), (236, 1), (237, 1), (238, 1), (239, 1), (240, 1), (241, 1), (242, 1), (243, 1), (244, 1), (245, 4), (246, 1), (247, 1), (248, 1), (249, 4), (250, 1), (251, 2), (252, 1), (253, 1), (254, 1), (255, 1), (256, 1), (257, 3), (258, 1), (259, 1), (260, 1), (261, 2), (262, 1), (263, 1), (264, 2), (265, 1), (266, 1), (267, 5), (268, 1), (269, 1), (270, 1), (271, 1), (272, 1), (273, 1), (274, 1), (275, 1), (276, 5), (277, 1), (278, 1), (279, 1), (280, 1), (281, 1), (282, 2), (283, 3), (284, 1), (285, 1), (286, 1), (287, 1), (288, 2), (289, 2), (290, 1), (291, 1), (292, 1), (293, 1), (294, 1), (295, 1), (296, 1), (297, 1), (298, 1), (299, 1), (300, 1), (301, 7), (302, 1)]"
5,"[(44, 1), (85, 1), (90, 2), (94, 1), (143, 1), (146, 1), (229, 1), (236, 5), (252, 2), (258, 3), (281, 1), (289, 1), (294, 1), (303, 1), (304, 1), (305, 1), (306, 1), (307, 1), (308, 1), (309, 1), (310, 1), (311, 1), (312, 1), (313, 1), (314, 1), (315, 3), (316, 1), (317, 1), (318, 1), (319, 3), (320, 1), (321, 1), (322, 1), (323, 1), (324, 1), (325, 1), (326, 1), (327, 1), (328, 1), (329, 1), (330, 3), (331, 1), (332, 1), (333, 1), (334, 1), (335, 2), (336, 1), (337, 1), (338, 1), (339, 1), (340, 1), (341, 1), (342, 1), (343, 1), (344, 1), (345, 1), (346, 1), (347, 1), (348, 1), (349, 1), (350, 1), (351, 1), (352, 1), (353, 1), (354, 1), (355, 1), (356, 1), (357, 1), (358, 1), (359, 1), (360, 2), (361, 3), (362, 1), (363, 4), (364, 1), (365, 1), (366, 1), (367, 1), (368, 1), (369, 2), (370, 2), (371, 1), (372, 3), (373, 1), (374, 1), (375, 4), (376, 4), (377, 1), (378, 1), (379, 2), (380, 1), (381, 1), (382, 1), (383, 1), (384, 1), (385, 1), (386, 1), (387, 1), (388, 1), (389, 1), (390, 1), (391, 1), (392, 1), (393, 1), (394, 1), (395, 1), (396, 1), (397, 2), (398, 1), (399, 1), (400, 5), (401, 1), (402, 1), (403, 1), (404, 1), (405, 1), (406, 2), (407, 1), (408, 1), (409, 1), (410, 1), (411, 1), (412, 1), (413, 1), (414, 1), (415, 1), (416, 1)]"
6,"[(29, 1), (62, 1), (72, 3), (91, 1), (96, 1), (98, 1), (99, 1), (105, 2), (108, 1), (109, 1), (111, 3), (112, 1), (118, 1), (120, 2), (125, 3), (127, 1), (145, 1), (155, 1), (163, 1), (167, 1), (169, 2), (174, 1), (220, 1), (240, 1), (264, 1), (295, 1), (309, 1), (417, 1), (418, 1), (419, 1), (420, 1), (421, 1), (422, 1), (423, 1), (424, 1), (425, 1), (426, 3), (427, 1), (428, 1), (429, 1), (430, 1), (431, 1), (432, 1), (433, 2), (434, 1), (435, 1), (436, 1), (437, 1), (438, 1), (439, 1), (440, 1), (441, 1), (442, 1), (443, 1), (444, 1), (445, 1), (446, 1), (447, 1), (448, 1), (449, 1), (450, 1), (451, 1), (452, 1), (453, 1), (454, 4), (455, 1), (456, 1), (457, 2), (458, 1), (459, 1), (460, 1), (461, 1), (462, 1), (463, 1), (464, 2), (465, 1), (466, 1), (467, 1), (468, 1), (469, 1), (470, 1), (471, 1), (472, 1), (473, 1)]"
7,"[(17, 1), (19, 1), (31, 1), (45, 2), (50, 1), (61, 2), (72, 1), (79, 1), (91, 1), (100, 1), (134, 2), (153, 1), (163, 1), (166, 1), (169, 1), (175, 1), (282, 1), (294, 1), (358, 1), (384, 1), (390, 1), (443, 1), (458, 1), (469, 1), (474, 1), (475, 1), (476, 1), (477, 1), (478, 1), (479, 1), (480, 1), (481, 1), (482, 1), (483, 1), (484, 1), (485, 1), (486, 1), (487, 3), (488, 1), (489, 1), (490, 1), (491, 1), (492, 1), (493, 1), (494, 1), (495, 1), (496, 1), (497, 1), (498, 1), (499, 1), (500, 1), (501, 1), (502, 1), (503, 1), (504, 1), (505, 1), (506, 1), (507, 1), (508, 1), (509, 1), (510, 1), (511, 1), (512, 1), (513, 1), (514, 1), (515, 1), (516, 1), (517, 1), (518, 1), (519, 2), (520, 1), (521, 1), (522, 1), (523, 1), (524, 1), (525, 1), (526, 3), (527, 1), (528, 1), (529, 2), (530, 1), (531, 1), (532, 1), (533, 2), (534, 1), (535, 1)]"
8,"[(10, 1), (61, 2), (69, 1), (75, 1), (81, 1), (89, 1), (90, 1), (100, 1), (109, 1), (115, 1), (123, 1), (126, 1), (139, 1), (169, 2), (175, 1), (179, 1), (212, 1), (222, 1), (505, 1), (516, 1), (520, 1), (536, 1), (537, 2), (538, 1), (539, 1), (540, 1), (541, 1), (542, 1), (543, 1), (544, 1), (545, 1), (546, 1), (547, 1), (548, 4), (549, 1), (550, 1), (551, 1), (552, 2), (553, 1), (554, 1), (555, 1), (556, 1), (557, 1), (558, 1), (559, 1), (560, 1), (561, 1), (562, 1), (563, 1), (564, 1), (565, 1), (566, 1), (567, 1), (568, 1), (569, 1), (570, 1), (571, 1), (572, 1), (573, 1), (574, 1), (575, 1), (576, 1), (577, 1), (578, 1), (579, 1), (580, 1), (581, 1), (582, 1), (583, 1), (584, 1), (585, 1), (586, 1), (587, 1), (588, 1), (589, 1), (590, 1), (591, 1), (592, 1), (593, 1), (594, 1), (595, 1), (596, 2), (597, 1), (598, 1), (599, 1), (600, 1), (601, 1), (602, 1), (603, 1), (604, 1), (605, 1), (606, 1), (607, 1), (608, 1), (609, 1), (610, 1), (611, 2), (612, 1), (613, 1), (614, 1), (615, 1), (616, 1), (617, 1), (618, 1), (619, 3), (620, 1), (621, 1), (622, 1), (623, 1), (624, 2), (625, 1), (626, 1), (627, 1), (628, 1), (629, 1), (630, 1), (631, 1), (632, 1), (633, 1), (634, 1), (635, 1), (636, 1), (637, 1), (638, 2), (639, 1), (640, 1), (641, 1), (642, 3), (643, 6), (644, 3)]"
9,"[(26, 1), (44, 1), (65, 1), (70, 1), (77, 1), (79, 1), (82, 1), (90, 1), (91, 2), (100, 1), (103, 2), (105, 1), (131, 1), (143, 1), (144, 1), (156, 1), (163, 1), (169, 1), (175, 1), (176, 1), (177, 1), (289, 1), (423, 1), (449, 1), (471, 1), (486, 2), (512, 2), (514, 1), (519, 1), (549, 1), (645, 1), (646, 1), (647, 1), (648, 1), (649, 1), (650, 1), (651, 2), (652, 2), (653, 1), (654, 1), (655, 1), (656, 1), (657, 1), (658, 1), (659, 1), (660, 1), (661, 1), (662, 1), (663, 1), (664, 1), (665, 1), (666, 3), (667, 1), (668, 1), (669, 1), (670, 1), (671, 2), (672, 1), (673, 1), (674, 1), (675, 1), (676, 1), (677, 1), (678, 1), (679, 1), (680, 1)]"
