tokens,tokens_str,label
"['life', 'health', 'billions', 'people', 'endangered', 'climate_change', 'today', 'life_expectancy', 'generally', 'used', 'best', 'metric', 'assessing', 'population', 'health', 'status', 'nation', 'backdrop', 'investigates', 'effect', 'climate_change', 'life_expectancy', 'using', 'panel', 'model', 'imprimis', 'develops', 'conceptual_framework', 'linking', 'direct_indirect', 'pathways', 'climate_change', 'affects', 'health', 'direct', 'pathways', 'weather', 'variables', 'natural_disasters', 'indirect', 'pathways', 'mediated', 'economic', 'systems', 'ecosystems', 'estimates', 'effect', 'climate_change', 'life_expectancy', 'using', 'crossnational', '191', 'countries', 'covering', 'period', '19402020', 'employing', 'fixedeffect', 'finding', 'suggests', 'annual', 'average_temperature', 'increases', 'life_expectancy', 'birth', 'decline', '044', 'years', 'moreover', 'temperature', 'rise', 'negatively', 'impact', 'life_expectancy', 'interacting', 'rainfall', 'cycle', 'composite', 'climate_change', 'index', 'index', 'geometric', 'mean_temperature', 'rainfall', 'increases', 'points', 'life_expectancy', 'birth', 'decline', '050', 'years', 'moreover', 'climate_change', 'disproportionately', 'reduce', 'life_expectancy', 'females', 'life_expectancy', 'males', 'negative', 'relationship', 'composite', 'climate_change', 'index', 'life_expectancy', 'underscores', 'urgency', 'addressing', 'climate_change', 'public_health', 'crisis', 'mitigation_efforts', 'reduce_greenhouse', 'gas_emissions', 'adapt', 'changing', 'conditions', 'essential', 'minimize', 'health_risks', 'climate_change', 'thus', 'countries', 'come', 'forward', 'prompt', 'initiatives', 'contain', 'global', 'temperature', 'rise', 'protect', 'health', 'population', 'verge', 'climate_change']",life health billions people endangered climate_change today life_expectancy generally used best metric assessing population health status nation backdrop investigates effect climate_change life_expectancy using panel model imprimis develops conceptual_framework linking direct_indirect pathways climate_change affects health direct pathways weather variables natural_disasters indirect pathways mediated economic systems ecosystems estimates effect climate_change life_expectancy using crossnational 191 countries covering period 19402020 employing fixedeffect finding suggests annual average_temperature increases life_expectancy birth decline 044 years moreover temperature rise negatively impact life_expectancy interacting rainfall cycle composite climate_change index index geometric mean_temperature rainfall increases points life_expectancy birth decline 050 years moreover climate_change disproportionately reduce life_expectancy females life_expectancy males negative relationship composite climate_change index life_expectancy underscores urgency addressing climate_change public_health crisis mitigation_efforts reduce_greenhouse gas_emissions adapt changing conditions essential minimize health_risks climate_change thus countries come forward prompt initiatives contain global temperature rise protect health population verge climate_change,academic
"['aims', 'determine', 'impact', 'surface_temperature', 'change', 'considered', 'proxy', 'climate_change', 'united_kingdom', 'life_expectancy', 'using', 'annual', '19902021', 'government', 'expenditure', 'used', 'control', 'variable', 'fourier', 'functionbased', 'bootstrap', 'autoregressive', 'distributed', 'lag', 'model', 'utilized', 'examine', 'cointegration', 'among', 'variables', 'outcomes', 'reveal', 'longterm', 'relationship', 'life_expectancy', 'surface_temperature', 'change', 'government', 'expenditure', 'furthermore', 'findings', 'reveal', 'surface_temperature', 'change', 'significantly', 'reduces_life', 'expectancy', 'long', 'run', 'significant', 'relationship', 'two', 'variables', 'short', 'term', 'todayamamoto', 'causality', 'show', 'unidirectional', 'causality', 'relationship', 'surface_temperature', 'change', 'life_expectancy', 'additionally', 'significant', 'bidirectional', 'causality', 'relationship', 'found', 'life_expectancy', 'government', 'expenditure']",aims determine impact surface_temperature change considered proxy climate_change united_kingdom life_expectancy using annual 19902021 government expenditure used control variable fourier functionbased bootstrap autoregressive distributed lag model utilized examine cointegration among variables outcomes reveal longterm relationship life_expectancy surface_temperature change government expenditure furthermore findings reveal surface_temperature change significantly reduces_life expectancy long run significant relationship two variables short term todayamamoto causality show unidirectional causality relationship surface_temperature change life_expectancy additionally significant bidirectional causality relationship found life_expectancy government expenditure,academic
"['geographical', 'environment', 'climate_change', 'basic', 'factors', 'spatial', 'fluctuations', 'global', 'distribution', 'air_pollutants', 'background', 'global', 'climate_change', 'investigation', 'needed', 'meteorological', 'characteristics', 'complex', 'geographical', 'environment', 'variations', 'drive', 'spatial', 'air_pollution', 'variations', 'analyzed', 'response', 'air_pollutant', 'emissions', 'climate_change', 'potential', 'effects', 'air_pollutant', 'emissions', 'human_health', 'integrating', 'air_pollutant', 'emission', 'simulation', 'model', 'gains', 'versions', 'cmip5', 'mechanism', 'meteorological', 'characteristics', 'geographical', 'matrices', 'drive', 'air_pollution', 'based', 'monitoring', 'sitescale', 'also', 'examined', 'found', 'total', 'global', 'emission', 'major', 'air_pollutants', 'increased', '132', 'times', '19702010', 'air_pollutant', 'emissions', 'increase', '289', '411', 'china', 'developed_countries', 'scenario', 'maximum', 'technically', 'feasible', 'reductions', 'performed', 'v4a', '20202050', 'however', 'decrease', '1933', '678', 'respectively', 'taking', 'v5a', 'climate', 'scenario', 'consideration', 'precipitation', 'variation', 'contribute', 'change', 'especially', 'china', 'locally', 'air', 'circulation', 'mode', 'dominated', 'local', 'geographical', 'matrices', 'meteorological', 'characteristics', 'jointly', 'affect', 'dilution', 'diffusion', 'air_pollutants', 'therefore', 'natural', 'conditions', 'climate', 'changes', 'meteorological', 'characteristics', 'topography', 'play', 'important', 'role', 'spatial', 'air_pollutant', 'emissions', 'fluctuations', 'must', 'given', 'attention', 'processes', 'air_pollution', 'control', 'policy', 'making']",geographical environment climate_change basic factors spatial fluctuations global distribution air_pollutants background global climate_change investigation needed meteorological characteristics complex geographical environment variations drive spatial air_pollution variations analyzed response air_pollutant emissions climate_change potential effects air_pollutant emissions human_health integrating air_pollutant emission simulation model gains versions cmip5 mechanism meteorological characteristics geographical matrices drive air_pollution based monitoring sitescale also examined found total global emission major air_pollutants increased 132 times 19702010 air_pollutant emissions increase 289 411 china developed_countries scenario maximum technically feasible reductions performed v4a 20202050 however decrease 1933 678 respectively taking v5a climate scenario consideration precipitation variation contribute change especially china locally air circulation mode dominated local geographical matrices meteorological characteristics jointly affect dilution diffusion air_pollutants therefore natural conditions climate changes meteorological characteristics topography play important role spatial air_pollutant emissions fluctuations must given attention processes air_pollution control policy making,academic
"['shown', 'air_pollution', 'climate_change', 'affect', 'duration', 'quality', 'sleep', 'threatens', 'physical_mental', 'health', 'especially', 'respiratory_cardiovascular', 'nervous', 'systems', 'shortens', 'life_expectancy', 'begin', 'overall', 'information', 'air_pollution', 'climate_change', 'sleep', 'proceed', 'effects', 'two', 'environmental', 'issues', 'sleep', 'light', 'previous']",shown air_pollution climate_change affect duration quality sleep threatens physical_mental health especially respiratory_cardiovascular nervous systems shortens life_expectancy begin overall information air_pollution climate_change sleep proceed effects two environmental issues sleep light previous,academic
"['last', 'covid19_pandemic', '333188', 'people', 'died', 'mexico', 'analyzing', 'behavior', 'pandemic', 'found', 'risk', 'dying', 'infected', 'related', 'previous', 'medical', 'conditions', 'degenerative', 'diseases', 'also', 'carried', 'linked', 'gender', 'age', 'work', 'school', 'condition', 'far', 'carried', 'linking', 'people', 'died', 'covid19', 'social', 'marginalization', 'vulnerability', 'climate_change', 'arises', 'question', 'environmental', 'vulnerability', 'related', 'factor', 'influenced', 'death', 'people', 'infected', 'covid19', 'mexico', 'pandemic', 'years', '2020', '2023', 'order', 'answer', 'question', 'hypothesized', 'vulnerability', 'climate_change', 'factor', 'negatively', 'affects', 'life_expectancy', 'people', 'infected', 'covid19', 'mexico', 'objective', 'make', 'visible', 'environmental', 'deterioration', 'negative', 'impact', 'peoples', 'health', 'well', 'emergence', 'new', 'pathogens', 'increases', 'deaths', 'people', 'infected', 'covid19', 'order', 'demonstrate', 'assumption', 'variance', 'carried', 'relating', 'variable', 'people', 'died', 'pandemic', 'conditions', 'municipal', 'vulnerability', 'global', 'climate_change', 'southcentral', 'states', 'mexican', 'republic', 'puebla', 'morelos', 'guerrero', 'state', 'mexico', 'mexico', 'city', 'selected', 'found', 'environmental', 'vulnerability', 'negative', 'impact', 'life_expectancy', 'people', 'infected', 'municipality', 'deceased', 'person', 'lived', 'greater', 'vulnerability', 'climate_change', 'greater', 'probability', 'death', 'environmental', 'justice', 'actions', 'must', 'carried', 'reduce', 'vulnerability']",last covid19_pandemic 333188 people died mexico analyzing behavior pandemic found risk dying infected related previous medical conditions degenerative diseases also carried linked gender age work school condition far carried linking people died covid19 social marginalization vulnerability climate_change arises question environmental vulnerability related factor influenced death people infected covid19 mexico pandemic years 2020 2023 order answer question hypothesized vulnerability climate_change factor negatively affects life_expectancy people infected covid19 mexico objective make visible environmental deterioration negative impact peoples health well emergence new pathogens increases deaths people infected covid19 order demonstrate assumption variance carried relating variable people died pandemic conditions municipal vulnerability global climate_change southcentral states mexican republic puebla morelos guerrero state mexico mexico city selected found environmental vulnerability negative impact life_expectancy people infected municipality deceased person lived greater vulnerability climate_change greater probability death environmental justice actions must carried reduce vulnerability,academic
"['background', 'climate_change', 'health', 'emergency', 'year', 'estimated', 'cost', '230', 'million', 'years', 'life_expectancy', 'million_premature', 'deaths', 'air_pollution', 'million', 'excess', 'deaths', 'due', 'nonoptimal', 'temperatures', 'representing', 'temperaturerelated_deaths', 'since', '2015', 'since', '2000', 'objective', 'identify', 'evaluate', 'reliability', 'fidelity', 'validity', 'instruments', 'measuring', 'nurses', 'knowledge', 'awareness', 'climate_change', 'climateassociated', 'diseases', 'methods', 'systematic', 'retrieve', 'assess', 'examining', 'instruments', 'measuring', 'nurses', 'knowledge', 'awareness', 'climate_change', 'climateassociated', 'diseases', 'using', 'predefined', 'search', 'terms', 'nurses', 'climate_change', 'literacy', 'scales', 'tools', 'search', 'articles', 'recorded', 'following', 'electronic_databases', 'language', 'date', 'restrictions', 'inception', 'october', '2023', 'medline', 'ovid', '1946', 'pubmed', 'medlinesb', '1996', 'embasecom', '1947', 'cinahl', 'ebesco', '1937', 'cochrane', 'library', 'wiley', '1992', 'web_science', 'core', 'collection', '1900', 'trip', 'database', '1997', 'jbi', 'ovid', '1998', 'greenfile', 'ebsco', 'also', 'handsearch', 'relevant', 'articles', 'bibliographies', 'search', 'unpublished', 'using', 'google_scholar', 'proquest', 'dissertations', 'theses', 'global', 'darteuropeeu', 'completed', 'exploring', 'gray', 'opengrey', 'grey', 'report', 'inception', 'october', '2023', 'collaboration', 'librarian', 'twelve', 'bibliographic', 'databases', 'searched', 'publications', 'october', '2023', 'papers', 'selected', 'assessed', 'quality', 'electronic', 'database', 'searches', 'completed', 'may', '2023', 'retrieved', 'articles', 'screened', 'completed', 'october', '2023', 'removing', 'duplicates', 'search', 'strategy', 'retrieved', '3449', 'references', 'conclusions', 'systematic', 'provide', 'specific', 'knowledge', 'instruments', 'measure', 'nurses', 'knowledge', 'awareness', 'motivation', 'attitudes', 'behaviors', 'beliefs', 'skills', 'competencies', 'regarding', 'climate_change', 'climateassociated', 'diseases']",background climate_change health emergency year estimated cost 230 million years life_expectancy million_premature deaths air_pollution million excess deaths due nonoptimal temperatures representing temperaturerelated_deaths since 2015 since 2000 objective identify evaluate reliability fidelity validity instruments measuring nurses knowledge awareness climate_change climateassociated diseases methods systematic retrieve assess examining instruments measuring nurses knowledge awareness climate_change climateassociated diseases using predefined search terms nurses climate_change literacy scales tools search articles recorded following electronic_databases language date restrictions inception october 2023 medline ovid 1946 pubmed medlinesb 1996 embasecom 1947 cinahl ebesco 1937 cochrane library wiley 1992 web_science core collection 1900 trip database 1997 jbi ovid 1998 greenfile ebsco also handsearch relevant articles bibliographies search unpublished using google_scholar proquest dissertations theses global darteuropeeu completed exploring gray opengrey grey report inception october 2023 collaboration librarian twelve bibliographic databases searched publications october 2023 papers selected assessed quality electronic database searches completed may 2023 retrieved articles screened completed october 2023 removing duplicates search strategy retrieved 3449 references conclusions systematic provide specific knowledge instruments measure nurses knowledge awareness motivation attitudes behaviors beliefs skills competencies regarding climate_change climateassociated diseases,academic
"['population', 'aging', 'urbanization', 'life_expectancy', 'among', 'main', 'pillars', 'sustainable', 'economic', 'social', 'environmental', 'development', 'future', 'outlined', 'sustainable_development', 'goals', 'sdgs', 'united_nations', 'globally', 'current', 'population', 'structure', 'exhibits', 'increasing', 'proportion', 'elderly', 'along', 'rising', 'healthcare', 'costs', 'climate_change', 'malaysia', 'faces', 'similar', 'experience', 'population', 'expected', 'account', 'elderly', '2030', 'achieve', 'sdgs', 'attention', 'given', 'pillars', 'namely', 'life_expectancy', 'health', 'expenditure', 'economic_development', 'carbon_emissions', 'limited', 'addresses', 'key', 'factors', 'conducted', 'especially', 'emerging', 'economies', 'malaysia', 'therefore', 'aims', 'contribute', 'existing', 'analyzing', 'longterm', 'shortterm', 'relationships', 'carbon_emissions', 'gdp', 'health', 'expenditure', 'life_expectancy', 'malaysia', 'autoregressive', 'distributed', 'lag', 'ardl', 'bounds', 'cointegration', 'test', 'adopted', 'determine', 'longterm', 'shortterm', 'effects', 'life_expectancy', '1997', '2021', 'findings', 'indicate', 'cointegration', 'existed', 'among', 'variables', 'carbon_emissions', 'health', 'expenditure', 'statistically_significant', 'relationship', 'life_expectancy', 'short', 'run', 'hence', 'greater', 'attention_paid', 'two', 'factors', 'particularly', 'short', 'term', 'ensure', 'malaysia', 'maintain', 'health_wellbeing', 'nation', 'line', 'sdg', 'requirements']",population aging urbanization life_expectancy among main pillars sustainable economic social environmental development future outlined sustainable_development goals sdgs united_nations globally current population structure exhibits increasing proportion elderly along rising healthcare costs climate_change malaysia faces similar experience population expected account elderly 2030 achieve sdgs attention given pillars namely life_expectancy health expenditure economic_development carbon_emissions limited addresses key factors conducted especially emerging economies malaysia therefore aims contribute existing analyzing longterm shortterm relationships carbon_emissions gdp health expenditure life_expectancy malaysia autoregressive distributed lag ardl bounds cointegration test adopted determine longterm shortterm effects life_expectancy 1997 2021 findings indicate cointegration existed among variables carbon_emissions health expenditure statistically_significant relationship life_expectancy short run hence greater attention_paid two factors particularly short term ensure malaysia maintain health_wellbeing nation line sdg requirements,academic
"['consequence', 'climate_change', 'negative_impacts', 'environment', 'human_health', 'topic', 'sustainability', 'become', 'integral', 'part', 'urban', 'policy', 'smart_city', 'initiatives', 'around_world', 'focusing', 'different', 'aspects', 'sustainability', 'order', 'provide', 'better', 'living', 'conditions', 'residents', 'aim', 'investigate', 'impact', 'selected', 'smart_city', 'indicators', 'average_life', 'expectancy', 'variable', 'quality_life', 'wellbeing', 'based', 'common', 'correlated', 'effects', 'cce', 'model', 'instrumental', 'variable', 'estimator', 'common', 'factors', '2siv', 'clustering', 'regression', 'model', 'countries', 'divided', 'three', 'distinct', 'clusters', 'indicating', 'common', 'elements', 'also', 'specificities', 'group', 'confirmed', 'positive', 'impact', 'gdp', 'growth', 'renewable_energy', 'consumption', 'proportion', 'population', 'tertiary', 'level', 'education', 'life_expectancy', 'hand', 'co2_emissions', 'transport', 'pollution', 'adverse', 'effect', 'provides', 'valuable', 'insights', 'complex', 'relationship', 'smart_city', 'variables', 'quality_life', 'may', 'serve', 'basis', 'informed', 'responsible', 'decisionmaking', 'relevant', 'urban', 'stakeholders', 'aimed', 'designing', 'sustainable', 'resilient', 'healthier', 'cities']",consequence climate_change negative_impacts environment human_health topic sustainability become integral part urban policy smart_city initiatives around_world focusing different aspects sustainability order provide better living conditions residents aim investigate impact selected smart_city indicators average_life expectancy variable quality_life wellbeing based common correlated effects cce model instrumental variable estimator common factors 2siv clustering regression model countries divided three distinct clusters indicating common elements also specificities group confirmed positive impact gdp growth renewable_energy consumption proportion population tertiary level education life_expectancy hand co2_emissions transport pollution adverse effect provides valuable insights complex relationship smart_city variables quality_life may serve basis informed responsible decisionmaking relevant urban stakeholders aimed designing sustainable resilient healthier cities,academic
"['water_quality', 'degradation', 'turned', 'crucial', 'importance', 'due', 'various', 'factors', 'past_decade', 'pollution', 'climate_change', 'population_growth', 'factors', 'affect', 'water_quality', 'contaminations', 'microorganisms', 'heavy', 'metals', 'excessive', 'nitrogen', 'phosphorous', 'disrupt', 'water', 'levels', 'posing', 'significant', 'health_risks', 'despite', 'innovation', 'internet', 'thingsiot', 'allowing', 'balancing', 'adding', 'chlorine', 'fluoride', 'disinfection', 'step', 'several', 'security', 'issueseg', 'distributed', 'denial', 'service', 'manipulation', 'session', 'hijacking', 'manoeuvre', 'operational', 'performance', 'water', 'treatment', 'plants', 'causes', 'people', 'consume', 'polluted', 'water', 'many', 'adverse_effects', 'human_health', 'reduces_life', 'expectancy', 'address', 'critical', 'concern', 'propose', 'novel', 'integrating', 'artificial', 'intelligenceai', 'blockchain', 'technology', 'water', 'treatment', 'plant', 'management', 'methodology', 'utilizes', 'standard', 'water_quality', 'dataset', 'features', 'total', 'hardness', 'used', 'binary', 'classification', 'indicating', 'water', 'potable', 'potable', 'employ', 'various', 'classifiers', 'stochastic', 'gradient', 'descent', 'classifier', 'sgdc', 'decision', 'tree', 'naive', 'bayes', 'nearest', 'neighbours', 'knn', 'logistic', 'regression', 'furthermore', 'interplanetary', 'file', 'systemipfsbased', 'public', 'blockchain', 'integrated', 'resist', 'manipulation', 'attack', 'potable', 'water', 'sample', 'securely', 'stored', 'blockchains', 'immutable', 'ledger', 'proposed', 'model', 'evaluated', 'using', 'various', 'performance', 'metrics', 'confusion', 'matrix', 'learning', 'curve', 'assessment', 'training', 'accuracy', 'blockchain', 'scalability', 'notably', 'model', 'emerges', 'bestperforming', 'classifier', 'accuracy', '9941', 'scalability', '120', 'transactions']",water_quality degradation turned crucial importance due various factors past_decade pollution climate_change population_growth factors affect water_quality contaminations microorganisms heavy metals excessive nitrogen phosphorous disrupt water levels posing significant health_risks despite innovation internet thingsiot allowing balancing adding chlorine fluoride disinfection step several security issueseg distributed denial service manipulation session hijacking manoeuvre operational performance water treatment plants causes people consume polluted water many adverse_effects human_health reduces_life expectancy address critical concern propose novel integrating artificial intelligenceai blockchain technology water treatment plant management methodology utilizes standard water_quality dataset features total hardness used binary classification indicating water potable potable employ various classifiers stochastic gradient descent classifier sgdc decision tree naive bayes nearest neighbours knn logistic regression furthermore interplanetary file systemipfsbased public blockchain integrated resist manipulation attack potable water sample securely stored blockchains immutable ledger proposed model evaluated using various performance metrics confusion matrix learning curve assessment training accuracy blockchain scalability notably model emerges bestperforming classifier accuracy 9941 scalability 120 transactions,academic
"['life_expectancy', 'lex', 'important', 'indicator', 'general', 'health', 'status', 'quality_life', 'country', 'directly', 'related', 'factors', 'effectiveness', 'countrys', 'health', 'policies', 'level', 'social_economic', 'welfare', 'carbon_dioxide', 'co2_emissions', 'one', 'key', 'causes', 'global', 'climate_change', 'direct', 'negative_impacts', 'human_health', 'air_pollution', 'many', 'revealed', 'high', 'co2_emissions', 'negative_effects', 'health', 'reduce', 'life_expectancy', 'probably', 'first', 'kind', 'azerbaijan', 'analyzed', 'using', 'period', '19742022', 'stationarity', 'variables', 'tested', 'nonlinear', 'unit', 'root', 'tests', 'kss', 'sollis', 'kruse', 'found', 'stationary', 'level', 'existence', 'cointegration', 'relationship', 'variables', 'determined', 'aardl', 'based', 'obtained', 'ccr', 'fmols', 'increase', 'co2', 'leads', '015', 'decrease', 'lex', 'addition', 'fty', 'causality', 'test', 'revealed', 'unidirectional', 'causality', 'co2', 'lex']",life_expectancy lex important indicator general health status quality_life country directly related factors effectiveness countrys health policies level social_economic welfare carbon_dioxide co2_emissions one key causes global climate_change direct negative_impacts human_health air_pollution many revealed high co2_emissions negative_effects health reduce life_expectancy probably first kind azerbaijan analyzed using period 19742022 stationarity variables tested nonlinear unit root tests kss sollis kruse found stationary level existence cointegration relationship variables determined aardl based obtained ccr fmols increase co2 leads 015 decrease lex addition fty causality test revealed unidirectional causality co2 lex,academic
